Match,Team,Time,Player,Action_Type,Yellow_Card,Red_Card,Full_Text
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,85',Adam Armstrong,Shot,0,0,Attempt blocked. Adam Armstrong (Blackburn Rovers) right footed shot from the right side of the box is blocked. Assisted by Lewis Holtby.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,85',Dominic Samuel,Shot,0,0,Attempt missed. Dominic Samuel (Blackburn Rovers) header from the centre of the box misses to the right. Assisted by Lewis Holtby with a cross following a corner.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,85',Stewart Downing,Shot,0,0,Attempt blocked. Stewart Downing (Blackburn Rovers) right footed shot from outside the box is blocked.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,85',Dominic Samuel,Shot,0,0,Attempt blocked. Dominic Samuel (Blackburn Rovers) right footed shot from the right side of the six yard box is blocked.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,85',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Joe Worrall."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,88',Lewis Holtby,Shot,0,0,Attempt blocked. Lewis Holtby (Blackburn Rovers) left footed shot from the right side of the box is blocked. Assisted by Adam Armstrong.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,88',Adam Armstrong,Shot,0,0,Attempt missed. Adam Armstrong (Blackburn Rovers) left footed shot from outside the box is high and wide to the left. Assisted by Joe Rothwell.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,90',Elliott Bennett,Shot,0,0,Attempt saved. Elliott Bennett (Blackburn Rovers) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Adam Armstrong.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,90',Joe Rothwell,Shot,0,0,Attempt saved. Joe Rothwell (Blackburn Rovers) right footed shot from the centre of the box is saved in the top centre of the goal.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,90'+1',Joe Worrall,Foul,0,0,Foul by Joe Worrall (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,90'+1',Lewis Holtby,FreeKick,0,0,Lewis Holtby (Blackburn Rovers) wins a free kick on the right wing.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,90'+2',Dominic Samuel,Foul,0,0,Foul by Dominic Samuel (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,90'+2',Matthew Cash,FreeKick,0,0,Matthew Cash (Nottingham Forest) wins a free kick in the defensive half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,90'+3',Joe Rothwell,Foul,0,0,Foul by Joe Rothwell (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,90'+3',Matthew Cash,FreeKick,0,0,Matthew Cash (Nottingham Forest) wins a free kick in the defensive half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,90'+4',Darragh Lenihan,FreeKick,0,0,Darragh Lenihan (Blackburn Rovers) wins a free kick in the defensive half.
